reservation_id,renter_user_id,host_user_id,listing_id,created_at,approved_at,successful_payment_collected_at,hex_08_id,dma
27,5833,479,358,2023-12-09 00:14:17.631666,,,07085614936cc27f,San Francisco
28,6802,61,385,2023-04-21 13:56:25.585897,2023-04-21 23:37:38.991469,2023-04-22 00:03:57.455361,4aec231b7430874a,Atlanta
29,8810,289,535,2023-04-08 13:12:50.384611,2023-04-09 03:56:42.801221,2023-04-09 04:08:11.470931,35d399fa3f77c68d,Philadelphia
30,8426,344,287,2023-05-09 05:22:46.354734,2023-05-09 15:31:10.540148,2023-05-09 15:56:20.100157,4711d4b47d6bf691,Philadelphia
31,7568,335,431,2023-01-29 06:13:07.459845,2023-01-29 21:47:04.314879,2023-01-29 22:09:26.960111,9e2f30e3d5c8ff60,New York
32,3560,143,1,2023-08-10 16:22:39.799776,2023-08-11 05:56:36.338648,2023-08-11 06:18:12.728043,d2f5b8d11b6c8fb9,Chicago
33,6731,221,28,2023-08-08 15:23:42.952719,2023-08-09 03:25:34.776666,2023-08-09 03:47:01.047076,0ba19619715618a9,Los Angeles
34,3447,421,970,2023-03-26 23:34:14.084301,2023-03-27 21:38:41.931989,2023-03-27 21:56:09.139127,b36830404025412a,Dallas-Ft. Worth
35,5555,295,429,2023-04-14 06:42:02.021806,2023-04-14 08:43:57.288326,2023-04-14 09:08:47.812700,6f8322fdf11f63ce,Chicago
36,6515,463,649,2023-10-23 06:40:50.451044,2023-10-23 11:47:06.949840,2023-10-23 12:12:14.455103,426be077ca6587e2,Chicago
37,1865,277,414,2023-05-05 03:55:17.392112,2023-05-05 06:53:42.473886,2023-05-05 07:14:06.313770,c90d565b19b1ef38,Atlanta
38,8405,234,819,2023-05-12 12:17:15.221033,2023-05-12 20:27:03.713287,2023-05-12 20:33:01.790578,0f44a6392727024d,Philadelphia
39,3002,181,874,2023-12-24 20:10:35.464133,2023-12-25 01:52:52.344329,2023-12-25 01:59:20.150183,195d9cfb59a3bc23,Washington DC
40,5027,127,281,2023-06-17 06:50:41.628509,2023-06-17 08:18:08.292011,2023-06-17 08:44:56.333226,97003607269e2e20,Dallas-Ft. Worth
41,8405,311,872,2023-08-18 19:29:18.526982,2023-08-19 08:11:50.909486,2023-08-19 08:32:49.062907,00c5c6cf5aa86d75,Boston
42,3738,246,13,2023-03-17 01:55:36.073037,2023-03-17 12:29:17.220508,2023-03-17 12:46:44.529361,f9d1f79ac87776b0,Houston
43,7470,416,72,2023-01-28 02:14:58.155516,2023-01-28 20:38:42.520125,2023-01-28 21:07:17.285584,f5f6c557254576fd,Atlanta
44,1457,293,923,2023-07-23 11:57:57.889952,2023-07-24 09:37:09.959080,2023-07-24 10:00:33.625178,bc4e4cbbc0fbf833,Washington DC
45,8405,8,894,2023-12-13 04:58:34.538188,2023-12-14 00:33:15.559812,2023-12-14 00:45:39.785884,ebafde0ddc349c7c,San Francisco
46,3925,349,706,2023-01-31 23:10:03.166299,2023-02-01 03:41:17.316438,2023-02-01 03:55:12.500808,a60841cf462c57fe,Los Angeles
47,1920,209,282,2023-03-11 03:34:30.289767,2023-03-11 11:55:38.392729,2023-03-11 12:11:37.423537,2202108b9cfe326f,Chicago
48,3126,87,960,2023-11-20 17:24:02.156154,2023-11-21 07:36:45.450081,2023-11-21 07:56:40.236216,c4098f3f5e72d2eb,Chicago
49,3681,411,338,2023-06-14 13:04:27.390796,2023-06-15 01:11:51.808727,2023-06-15 01:32:13.108404,926c876ca211774b,Boston
50,7824,316,898,2023-11-17 22:05:12.083808,,,3ca6887071316663,San Francisco
51,692,264,214,2023-07-22 00:46:28.687062,2023-07-22 22:48:32.065656,2023-07-22 22:56:25.906667,b13cdf4e932a9dc8,Houston
52,2009,352,442,2023-02-18 13:28:20.619996,2023-02-18 21:55:00.225606,2023-02-18 22:06:00.872759,0009da97de8e0c8f,Philadelphia
53,1544,199,327,2023-12-15 03:38:36.831079,2023-12-15 06:08:38.759999,2023-12-15 06:25:15.854807,39572c4e7bb67d35,Washington DC
54,2228,490,904,2023-11-22 10:23:26.089167,2023-11-22 23:16:49.550577,2023-11-22 23:34:08.153047,0674a5f76547beab,Houston
55,2675,267,123,2023-03-15 16:23:46.873854,2023-03-16 15:26:12.685089,2023-03-16 15:32:40.610888,d004bce797929e37,San Francisco
56,4627,121,739,2023-10-06 07:35:34.810221,2023-10-06 18:00:44.324645,2023-10-06 18:21:31.819003,b7a3510f8512e101,Houston
57,7367,293,977,2023-07-18 01:42:07.859111,2023-07-18 16:39:40.636084,2023-07-18 16:56:58.119114,b4230ea845fabe0c,Houston
58,8414,401,484,2023-09-08 12:13:30.120290,2023-09-09 05:34:34.336763,2023-09-09 05:54:24.325179,90f8ce828c6a3a0b,Chicago
59,7898,217,131,2023-12-19 18:01:34.791324,2023-12-19 19:19:39.242245,2023-12-19 19:26:21.080999,daca128b48ad8a93,Dallas-Ft. Worth
60,2534,26,955,2023-02-08 09:43:25.786940,2023-02-09 01:13:35.183587,2023-02-09 01:41:31.358619,5bcf0faa3d707dfb,Los Angeles
61,1309,333,21,2023-01-15 20:00:07.194998,2023-01-16 16:12:35.728435,2023-01-16 16:28:33.389397,e2b3ca9f8df8ede3,San Francisco
62,3600,263,52,2023-06-03 21:19:49.408432,2023-06-04 13:00:33.405312,2023-06-04 13:22:38.755074,8f8c0b1e37fbffe9,Atlanta
63,6302,373,562,2023-04-04 12:26:29.677468,2023-04-05 03:24:13.592905,2023-04-05 03:45:40.398901,fe7753b470991d9f,New York
64,4280,412,213,2023-01-23 03:34:54.889981,2023-01-23 18:03:04.293360,2023-01-23 18:18:49.416576,fa8a385e054af67b,Philadelphia
65,3656,32,756,2023-11-24 16:47:42.763260,2023-11-25 15:16:36.191444,2023-11-25 15:34:24.668926,bb9f05730021d4b5,San Francisco
66,4537,180,12,2023-05-19 14:42:06.044323,2023-05-19 19:52:56.905302,2023-05-19 19:58:41.544824,9adedacedcef6597,Washington DC
67,5387,470,154,2023-05-16 15:44:33.480509,2023-05-17 04:42:12.066552,2023-05-17 04:52:09.040253,13cb9079c45335cb,Houston
68,1079,21,106,2023-01-12 06:50:10.841991,2023-01-12 21:47:54.675444,2023-01-12 22:13:24.411091,2d311ad7fef6ac94,Atlanta
69,3896,11,951,2023-05-04 09:22:54.052506,2023-05-05 07:20:30.831821,2023-05-05 07:43:07.079666,b4abc63229fad6c0,Philadelphia
70,7013,342,851,2023-01-07 20:41:54.800963,2023-01-08 17:41:33.076779,2023-01-08 18:07:57.497171,37a2dcc1d8860506,New York
71,7239,32,796,2023-06-26 06:22:24.518042,2023-06-26 17:49:49.556066,2023-06-26 18:10:26.132637,003e34e1ec1c9cf1,San Francisco
72,3581,378,343,2023-07-24 00:43:10.883662,2023-07-24 08:11:25.510797,2023-07-24 08:26:33.025097,b187057932c911ff,New York
73,5698,236,709,2023-06-27 09:21:07.770229,,,40d68212dcd2e053,Houston
74,6394,418,1,2023-12-16 08:44:39.539485,2023-12-16 20:14:52.340345,2023-12-16 20:32:31.546694,ac5b50153ab408de,Chicago
75,7140,78,409,2023-10-14 08:28:50.029262,2023-10-15 06:57:08.382394,2023-10-15 07:21:00.919047,f6b507cdd94e51f2,New York
76,5880,130,902,2023-10-02 10:58:52.776058,,,5d77b88583b19a68,Philadelphia
77,2788,222,632,2023-12-31 22:30:09.385879,2024-01-01 11:22:59.561527,2024-01-01 11:49:25.396937,01f605d1c0a678ee,Los Angeles
78,7956,37,298,2023-09-09 17:14:57.414603,2023-09-10 13:04:35.870712,2023-09-10 13:17:40.150930,c190691210e4b89e,Chicago
79,5940,262,633,2023-02-16 14:53:29.955100,2023-02-16 18:05:44.920579,2023-02-16 18:14:09.419815,99a8c02b192b56ca,San Francisco
80,832,339,614,2023-05-31 17:40:44.553523,2023-06-01 12:26:17.867812,2023-06-01 12:38:33.849522,381fe0396688c025,Washington DC
81,8694,122,251,2023-06-26 00:31:05.606757,,,57a7e985beaaf551,Houston
82,133,3,685,2023-11-03 16:43:53.888431,2023-11-04 06:33:28.940034,2023-11-04 06:51:33.911976,a1134a64adca0e44,Houston
83,577,48,127,2023-12-25 23:10:40.289951,2023-12-26 19:54:21.118097,2023-12-26 20:05:02.705183,d547376f735086f6,Houston
84,5208,285,283,2023-08-08 03:40:01.796863,2023-08-08 17:21:58.082343,2023-08-08 17:48:03.398171,30c79cd1a9391ed4,San Francisco
85,6033,200,128,2023-12-07 17:44:50.463167,2023-12-08 00:47:56.310116,2023-12-08 01:09:36.938641,ad8511d7a77fecc0,Atlanta
86,3798,237,87,2023-08-18 09:03:30.290261,2023-08-18 18:51:26.642461,2023-08-18 19:07:26.303033,92d894c0b3964f23,Chicago
87,7506,360,47,2023-07-19 01:57:53.463978,2023-07-19 02:59:11.589470,2023-07-19 03:26:40.324817,d06a0998ea07055f,Boston
88,2776,134,436,2023-03-21 09:17:37.827566,2023-03-22 00:44:25.991221,2023-03-22 00:54:12.023634,12abd063c34ecf91,Houston
89,6155,27,693,2023-11-15 19:04:23.037023,2023-11-15 21:37:47.323859,2023-11-15 22:03:16.801842,ee1bad9e568b12a7,New York
90,6688,19,803,2023-06-14 22:57:20.677463,2023-06-15 05:38:55.678310,2023-06-15 05:51:09.159314,3617c4ab8e842772,Atlanta
91,6681,295,302,2023-05-15 07:45:26.159059,2023-05-16 07:38:02.776199,2023-05-16 07:50:40.440177,d5cbb3f4078703a5,Dallas-Ft. Worth
92,3196,313,685,2023-09-01 16:05:22.919218,2023-09-02 07:34:59.007460,2023-09-02 08:00:49.011443,cd7e3f150fb24d66,Dallas-Ft. Worth
93,1008,10,321,2023-12-08 08:05:01.739878,2023-12-09 02:18:10.695661,2023-12-09 02:44:27.745024,b8209a674e86a80e,Chicago
94,1892,450,205,2023-01-18 16:32:08.681489,2023-01-18 23:40:38.941654,2023-01-18 23:50:35.321463,de4b9d28fd75a998,Houston
95,6010,349,493,2023-12-25 23:54:05.475546,2023-12-26 06:38:46.363000,2023-12-26 06:53:40.477032,81c20c780d6896fe,San Francisco
96,8439,377,670,2023-08-14 12:50:05.084111,2023-08-15 05:29:21.655278,2023-08-15 05:48:26.381690,d553ba0422440ab0,Chicago
97,4769,46,648,2023-08-02 13:18:18.516075,2023-08-02 17:34:00.852774,2023-08-02 17:48:48.590744,1b3a286425f67856,New York
98,3788,40,942,2023-09-01 20:54:39.338857,2023-09-02 18:02:25.985121,2023-09-02 18:10:50.738576,04c4098660f0e94f,Boston
99,7189,43,893,2023-03-05 07:48:00.096516,2023-03-06 03:54:44.708989,2023-03-06 04:07:55.326262,e2d8c4189efa3b0f,Boston
100,1892,105,694,2023-04-20 10:11:44.853924,2023-04-20 18:53:12.173629,2023-04-20 19:12:02.039978,df06f07b53a6d931,Houston
101,4712,251,298,2023-12-01 15:03:37.492400,2023-12-02 13:21:31.146285,2023-12-02 13:48:34.767954,0ebf9597d20b71d5,Atlanta
102,4270,47,440,2023-07-08 07:27:05.068420,2023-07-09 01:13:43.887096,2023-07-09 01:23:42.677892,69bf0269f02eee5b,Los Angeles
103,2612,485,204,2023-11-17 00:22:48.376030,,,7e331d53ee0f95a5,Chicago
104,3291,97,562,2023-12-24 13:16:42.478253,2023-12-24 16:28:21.677488,2023-12-24 16:45:52.312944,2b019538f120a28c,Houston
105,6734,185,584,2023-09-25 20:33:34.037019,2023-09-26 17:02:23.492595,2023-09-26 17:14:44.814808,932c709eac34d1ae,New York
106,5105,449,664,2023-06-24 21:06:44.767346,2023-06-25 20:59:05.376525,2023-06-25 21:20:13.499940,e4e46d4a12713cf8,Philadelphia
107,8414,75,995,2023-05-08 02:07:38.343404,2023-05-08 21:49:57.491490,2023-05-08 22:18:21.774378,292011274cd7eb1f,Philadelphia
108,6244,434,552,2023-06-09 09:09:40.178780,2023-06-10 08:00:11.282944,2023-06-10 08:25:26.169962,d0fba789d04cec77,Los Angeles
109,5658,190,575,2023-05-09 12:25:38.010074,2023-05-10 05:16:16.637735,2023-05-10 05:29:05.850418,55b5cdcfe3bce1a8,Chicago
110,8253,335,644,2023-12-11 02:20:34.776393,2023-12-11 17:32:55.829474,2023-12-11 17:59:34.387303,3a33c3a8389b8220,Washington DC
111,8167,358,897,2023-06-23 14:05:44.868795,2023-06-23 20:11:15.371438,2023-06-23 20:34:27.281789,48f567631ef39c2f,Los Angeles
112,2937,451,611,2023-07-25 12:34:50.574840,2023-07-26 06:32:34.283250,2023-07-26 06:51:18.782106,1382a7119d12e8b3,Atlanta
113,8936,338,672,2023-02-06 05:58:19.553801,2023-02-06 23:02:19.422058,2023-02-06 23:29:51.123748,8a8e6cceee6bd1da,Los Angeles
114,1311,150,43,2023-09-08 13:24:38.768319,2023-09-08 20:26:39.797599,2023-09-08 20:38:34.302429,1040018697a6e22b,Washington DC
115,8340,485,887,2023-04-22 17:02:43.356319,2023-04-23 14:04:05.110105,2023-04-23 14:29:11.469067,6ca30b75aed7c357,Houston
116,6061,437,773,2023-09-11 01:34:33.715932,2023-09-11 20:33:00.434116,2023-09-11 20:41:39.445582,7cb1219f893068a4,Washington DC
117,1736,201,201,2023-09-19 03:41:47.118543,2023-09-20 02:20:06.306188,2023-09-20 02:31:35.847075,196ce493a350af30,Philadelphia
118,7004,448,719,2023-12-01 12:14:12.724740,2023-12-02 11:31:13.201567,2023-12-02 11:58:51.965363,329f44e961dae8c3,Chicago
119,2677,122,189,2023-12-12 21:04:50.186477,2023-12-13 04:49:23.681672,2023-12-13 04:56:41.184285,9f04226d51efeaa7,Washington DC
120,4218,411,577,2023-09-13 19:56:42.082504,2023-09-14 04:42:09.621693,2023-09-14 04:55:12.819234,dc8f042102b7f194,San Francisco
121,1561,212,345,2023-03-10 09:08:38.630848,2023-03-11 06:50:24.503512,2023-03-11 07:00:50.942730,129de52350e93a5a,Dallas-Ft. Worth
122,1885,120,979,2023-04-11 00:48:48.780280,2023-04-11 23:54:19.799563,2023-04-12 00:12:49.288167,a76feef0465e83ca,Houston
123,1494,205,929,2023-04-09 09:03:29.081187,2023-04-10 01:14:37.827659,2023-04-10 01:32:55.311712,d0ca5fdca6964194,San Francisco
124,2025,43,346,2023-05-08 13:16:29.723240,,,ec3b9aead64a3c1b,Boston
125,4074,43,117,2023-10-01 08:29:11.175006,2023-10-02 00:12:57.359255,2023-10-02 00:41:08.063273,b93b78dfe9bab60a,New York
126,3982,227,168,2023-05-20 13:03:17.309390,2023-05-20 17:54:44.144286,2023-05-20 18:11:14.762739,1500e38bcd8815d4,Dallas-Ft. Worth
127,5401,404,781,2023-06-04 01:38:37.407630,2023-06-04 06:27:07.719766,2023-06-04 06:41:18.329382,73d17e751e23a6ea,Los Angeles
128,6562,435,814,2023-08-14 20:34:56.054615,2023-08-15 07:30:15.712390,2023-08-15 07:49:47.753189,7946b66faaa86124,Atlanta
129,517,429,262,2023-02-01 10:25:04.809092,2023-02-02 05:19:05.942596,2023-02-02 05:34:30.432342,16d585b67ed3249c,Atlanta
130,1007,174,274,2023-01-08 19:36:52.541070,2023-01-08 21:00:27.522519,2023-01-08 21:23:25.691341,986baeda274d7ecb,Houston
131,1558,321,135,2023-02-15 18:03:47.746631,2023-02-16 02:09:51.717899,2023-02-16 02:23:56.170066,81427314be7ea61d,Los Angeles
132,2237,332,334,2023-02-08 22:10:42.144800,2023-02-09 17:04:38.744131,2023-02-09 17:14:08.749856,50defc4b833513a7,Houston
133,7369,108,878,2023-05-23 07:52:50.206572,,,e2e1d1db9cbd8892,Houston
134,4878,20,384,2023-10-15 10:45:19.699880,2023-10-15 13:21:30.641687,2023-10-15 13:46:17.715526,3e6e345499c13b0f,Los Angeles
135,3311,461,774,2023-06-17 13:48:40.469484,2023-06-18 03:16:55.592928,2023-06-18 03:32:02.485611,8833c2e33e170656,San Francisco
136,6419,107,430,2023-06-17 15:15:26.398508,,,86d14f0407b4eb50,Houston
137,3938,186,797,2023-03-30 22:59:54.995720,2023-03-31 12:56:43.139629,2023-03-31 13:10:35.647760,6c8db71f312c9815,Atlanta
138,4056,94,950,2023-11-22 11:06:21.517903,2023-11-23 04:27:37.642704,2023-11-23 04:53:49.191121,d29e0367a6b030f3,Los Angeles
139,7737,138,651,2023-07-07 19:54:09.840701,2023-07-08 19:36:07.853358,2023-07-08 19:45:36.015288,061b61cc5ef1d51e,Washington DC
140,4769,104,172,2023-11-10 07:55:14.031979,2023-11-10 19:41:15.974757,2023-11-10 20:07:29.470091,6876cea846ebe377,Boston
141,4218,320,420,2023-06-14 00:03:56.083599,2023-06-14 12:31:06.858932,2023-06-14 12:55:01.056074,22c4d41bd9921421,Washington DC
142,5706,444,571,2023-05-12 12:55:35.260688,2023-05-12 23:45:09.964935,2023-05-13 00:05:42.758883,7c2eca9cb5220afc,Washington DC
143,7824,338,930,2023-09-06 10:57:49.262627,2023-09-07 00:42:51.684043,2023-09-07 01:04:17.537518,c6c9b119aa0df80f,Boston
144,7973,463,565,2023-01-12 08:38:34.744853,2023-01-13 05:03:23.116753,2023-01-13 05:19:36.474747,84f9cc66255fc345,Boston
145,8253,163,843,2023-06-27 05:14:09.091811,2023-06-27 20:58:00.242719,2023-06-27 21:13:01.386038,7973d67d08ee6d58,San Francisco
146,3104,19,457,2023-07-20 09:50:06.820521,2023-07-21 05:35:19.269230,2023-07-21 06:04:50.140396,7f9d13ee852cd894,Washington DC
147,1640,284,580,2023-09-12 09:24:34.370806,2023-09-12 10:47:36.629472,2023-09-12 11:04:47.731766,55576f53ae030652,Houston
148,4763,160,358,2023-02-23 03:54:51.318346,2023-02-23 15:24:38.335377,2023-02-23 15:38:33.230496,d6e7b117b39b8890,Atlanta
149,5982,372,90,2023-04-16 08:22:57.697495,2023-04-17 02:13:22.620040,2023-04-17 02:20:53.655058,e0ba6c595518c464,New York
150,9028,444,869,2023-12-19 17:14:52.182390,2023-12-20 06:24:07.820448,2023-12-20 06:43:18.430224,06b1e30bb5a0b430,Chicago
151,5208,351,184,2023-04-14 06:28:35.654052,2023-04-14 09:49:13.867744,2023-04-14 10:09:09.211835,5dbb1842e57df3ca,Atlanta
152,5150,184,649,2023-03-20 07:21:15.446391,2023-03-20 20:20:54.202304,2023-03-20 20:50:05.606487,7b368d80c4d46c02,Los Angeles
153,859,60,94,2023-09-13 02:53:43.893411,,,6469dbf1da87ba2c,Houston
154,3821,80,319,2023-05-22 18:36:26.200557,2023-05-22 20:56:37.546336,2023-05-22 21:22:50.205740,c0784e07ac366ba2,Dallas-Ft. Worth
155,5147,71,68,2023-08-25 16:37:56.513349,2023-08-26 10:21:09.704365,2023-08-26 10:27:25.294746,d0676a0e3b85adb1,New York
156,7810,360,948,2023-11-23 23:27:58.729964,2023-11-24 22:47:52.560531,2023-11-24 23:08:25.769310,26e6a2c4c08520ba,Philadelphia
157,1500,240,979,2023-08-17 21:40:03.324519,2023-08-18 06:00:17.342015,2023-08-18 06:22:55.819864,1db47da2921cc2b8,Philadelphia
158,7878,13,402,2023-07-28 06:17:36.693285,2023-07-28 08:49:47.429911,2023-07-28 09:15:57.357006,40026edea9916d57,Dallas-Ft. Worth
159,1502,284,122,2023-06-01 12:13:04.910321,2023-06-01 20:15:42.397879,2023-06-01 20:45:28.517294,668dbeb6d288fe87,Atlanta
160,4851,283,140,2023-06-12 18:18:18.315623,2023-06-13 13:49:38.066994,2023-06-13 14:00:20.986891,d6482d731603f335,New York
161,8797,286,801,2023-02-24 07:54:48.181604,2023-02-24 14:37:23.692136,2023-02-24 15:02:59.574262,4a2495513af2d9d8,Chicago
162,2914,215,686,2023-11-25 18:26:06.763781,2023-11-26 07:53:28.005522,2023-11-26 07:59:08.579001,15be35fc7a3d734a,Dallas-Ft. Worth
163,4332,224,825,2023-07-31 00:00:21.496714,2023-07-31 07:00:40.259680,2023-07-31 07:14:32.375261,a5048b9a0cdbc165,Boston
164,6914,247,493,2023-08-01 05:15:21.151012,2023-08-01 16:09:14.398846,2023-08-01 16:34:47.022959,eebfcde5507617f8,Atlanta
165,5069,428,356,2023-04-13 13:07:35.739620,2023-04-13 23:04:12.541097,2023-04-13 23:17:53.735444,6bdd5fc533f25e18,Los Angeles
166,4430,66,440,2023-06-23 15:47:49.562696,2023-06-24 15:32:34.248419,2023-06-24 15:41:36.763553,1b7e6a5ae39699b2,Chicago
167,3515,180,355,2023-03-03 05:13:14.234381,2023-03-03 15:07:53.054037,2023-03-03 15:23:46.087910,d69bd855c6b1bc18,Houston
168,2914,472,17,2023-08-15 13:43:54.318687,2023-08-16 12:43:35.940971,2023-08-16 13:06:54.603062,e5b092e52bb83872,Washington DC
169,5955,223,692,2023-09-27 00:35:12.847626,2023-09-27 03:13:41.659334,2023-09-27 03:21:49.922805,c932c582adc86e72,New York
170,2541,340,49,2023-07-11 04:41:18.984399,2023-07-11 23:45:44.247049,2023-07-12 00:00:22.595494,f006c740a69dc82d,New York
171,5882,170,722,2023-01-12 13:35:02.887143,2023-01-12 20:14:14.282929,2023-01-12 20:43:11.539371,0d84ecad1334b1c0,Dallas-Ft. Worth
172,4787,122,820,2023-05-01 11:39:21.135905,2023-05-01 20:29:12.100072,2023-05-01 20:55:13.332475,f21c16c4f92698d0,Houston
173,3245,233,570,2023-01-18 08:52:37.502271,2023-01-18 18:38:07.393461,2023-01-18 18:49:30.106498,66e28022e9226e24,Washington DC
174,592,303,939,2023-02-08 12:39:38.879342,2023-02-09 12:38:37.597761,2023-02-09 12:58:08.359729,db437f805a69661d,Houston
175,5251,265,596,2023-05-30 12:00:50.602238,2023-05-31 05:37:27.565088,2023-05-31 05:54:22.102813,828a5422e7c5d964,Houston
176,1850,158,64,2023-10-25 04:33:50.934373,2023-10-25 08:56:25.094405,2023-10-25 09:09:55.570261,55b2f9494fef141e,Boston
177,5204,258,301,2023-03-24 16:15:31.647524,2023-03-25 02:00:09.361693,2023-03-25 02:17:02.680324,0376ec9b418391a4,Los Angeles
178,8694,22,642,2023-09-08 10:52:52.074556,2023-09-09 08:32:30.560569,2023-09-09 08:47:22.994852,829180f1160fa4b7,Houston
179,5268,387,947,2023-11-03 12:30:48.778986,2023-11-04 01:59:04.236898,2023-11-04 02:11:00.161092,33d25bc517dd48b2,Chicago
180,4069,49,192,2023-07-02 20:55:38.375283,,,bbade38082589021,San Francisco
181,1325,167,257,2023-03-11 09:33:08.585103,2023-03-11 10:45:48.946121,2023-03-11 10:51:36.971794,dea0945dcb02da50,Houston
182,1682,251,461,2023-08-16 21:16:21.437413,2023-08-17 04:36:03.322737,2023-08-17 04:57:31.657488,ddcd815e902c09fb,Philadelphia
183,7009,55,955,2023-06-06 12:10:49.018994,2023-06-06 14:40:01.364987,2023-06-06 14:52:43.984568,3d4739148dc160e5,Philadelphia
184,8573,391,360,2023-06-24 18:23:15.870185,2023-06-25 03:05:23.233332,2023-06-25 03:17:05.255721,659042f977ed07b3,Philadelphia
185,6406,299,897,2023-06-10 23:42:10.489954,2023-06-11 05:47:33.430208,2023-06-11 05:57:53.619639,fce4f630117d1dc0,Dallas-Ft. Worth
186,1640,276,225,2023-11-21 02:52:47.635336,2023-11-21 20:57:28.579821,2023-11-21 21:06:42.395262,8855a97e2836ec66,Houston
187,2611,194,596,2023-08-27 18:07:05.707342,2023-08-28 16:16:58.220055,2023-08-28 16:32:12.307313,b1e9a3a73544ca68,Washington DC
188,7676,110,614,2023-11-19 14:12:04.392813,2023-11-19 20:24:53.003200,2023-11-19 20:30:14.766826,379bdf090d3a0a67,Chicago
189,2691,261,605,2023-07-01 07:35:27.719165,2023-07-01 22:37:32.437609,2023-07-01 22:53:23.957479,4330fd984de86a41,Dallas-Ft. Worth
190,1208,53,119,2023-08-10 12:47:38.161499,2023-08-10 21:39:51.663437,2023-08-10 22:06:28.518226,1e56a20376dae5ac,Atlanta
191,6071,446,384,2023-12-19 08:27:17.705297,2023-12-19 09:34:18.990858,2023-12-19 10:02:01.848597,8e4b53d66e2943ff,Los Angeles
